,0
1996-12-01,8.14
1997-01-01,7.96
1997-02-01,7.69
1997-03-01,7.87
1997-04-01,7.83
1997-05-01,8.46
1997-06-01,9.31
1997-07-01,11.23
1997-08-01,11.99
1997-09-01,10.63
1997-10-01,9.37
1997-11-01,9.07
1997-12-01,8.36
1998-01-01,8.19
1998-02-01,7.52
1998-03-01,7.59
1998-04-01,7.74
1998-05-01,8.58
1998-06-01,10.26
1998-07-01,11.32
1998-08-01,12.37
1998-09-01,11.08
1998-10-01,9.5
1998-11-01,8.74
1998-12-01,8.57
1999-01-01,8.15
1999-02-01,7.71
1999-03-01,7.73
1999-04-01,7.78
1999-05-01,8.23
1999-06-01,9.46
1999-07-01,11.05
1999-08-01,11.94
1999-09-01,10.84
1999-10-01,9.63
1999-11-01,8.51
1999-12-01,8.18
2000-01-01,8.1
2000-02-01,7.08
2000-03-01,7.32
2000-04-01,7.39
2000-05-01,8.26
2000-06-01,9.74
2000-07-01,11.0
2000-08-01,12.09
2000-09-01,10.95
2000-10-01,9.43
2000-11-01,8.46
2000-12-01,7.95
2001-01-01,7.41
2001-02-01,7.34
2001-03-01,7.68
2001-04-01,7.68
2001-05-01,8.3
2001-06-01,9.78
2001-07-01,11.42
2001-08-01,12.35
2001-09-01,11.23
2001-10-01,10.06
2001-11-01,8.51
2001-12-01,8.42
2002-01-01,7.82
2002-02-01,7.55
2002-03-01,7.58
2002-04-01,8.21
2002-05-01,8.71
2002-06-01,10.18
2002-07-01,11.22
2002-08-01,12.08
2002-09-01,10.94
2002-10-01,10.08
2002-11-01,8.91
2002-12-01,8.18
2003-01-01,8.14
2003-02-01,7.88
2003-03-01,8.36
2003-04-01,8.42
2003-05-01,8.66
2003-06-01,10.5
2003-07-01,12.34
2003-08-01,13.71
2003-09-01,11.63
2003-10-01,9.66
2003-11-01,9.01
2003-12-01,8.29
2004-01-01,8.11
2004-02-01,8.05
2004-03-01,8.03
2004-04-01,8.32
2004-05-01,8.68
2004-06-01,10.24
2004-07-01,11.53
2004-08-01,12.53
2004-09-01,11.11
2004-10-01,10.15
2004-11-01,8.55
2004-12-01,8.26
2005-01-01,8.09
2005-02-01,7.85
2005-03-01,7.96
2005-04-01,8.08
2005-05-01,8.62
2005-06-01,9.91
2005-07-01,11.53
2005-08-01,11.95
2005-09-01,10.58
2005-10-01,8.92
2005-11-01,8.53
2005-12-01,8.09
2006-01-01,8.0
2006-02-01,7.65
2006-03-01,7.95
2006-04-01,7.84
2006-05-01,8.53
2006-06-01,9.76
2006-07-01,11.16
2006-08-01,12.13
2006-09-01,11.26
2006-10-01,10.2
2006-11-01,8.71
